Creation_Date;Index_Symbol;Index_Name;Index ISIN;Internal_Key;ISIN;RIC;Instrument_Name;Country;Currency;Exchange;Index Membership;Rank (FINAL);Rank (PREVIOUS);Comment;Rank 2 (FINAL);Rank 2 (PREVIOUS)
20260601;SXXP;STOXX Europe 600;EU0009658202;546078;;ASML.AS;ASML HLDG;NL;EUR;Euronext Amsterdam;;1;1;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;040054;;HSBA.L;HSBC;GB;GBP;London SE;;2;2;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;474577;;ROPC.S;ROCHE PS;CH;CHF;Six Swiss Exchange;;3;4;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;098952;;AZN.L;ASTRAZENECA;GB;GBP;London SE;;4;3;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;477408;;NOVN.S;NOVARTIS;CH;CHF;Six Swiss Exchange;;5;5;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;461669;;NESN.S;NESTLE;CH;CHF;Six Swiss Exchange;;6;6;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;B09CBL;;SHEL.AS;SHELL;GB;EUR;Euronext Amsterdam;;7;7;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;480710;;SIEGn.DE;SIEMENS;DE;EUR;XETRA;;8;8;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;490541;;TTEF.PA;TOTALENERGIES;FR;EUR;Euronext Paris;;9;9;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;407228;;SAN.MC;BCO SANTANDER;ES;EUR;BME Exchange;;10;11;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;476361;;SAPG.DE;SAP;DE;EUR;XETRA;;11;12;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;483410;;SCHN.PA;SCHNEIDER ELECTRIC;FR;EUR;Euronext Paris;;12;10;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;401632;;ALVG.DE;ALLIANZ;DE;EUR;XETRA;;13;13;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;408580;;ABBN.S;ABB;CH;CHF;Six Swiss Exchange;;14;15;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;DE004V;;ENR1n.DE;SIEMENS ENERGY;DE;EUR;XETRA;;15;14;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;074776;;RR.L;ROLLS ROYCE HLDG;GB;GBP;London SE;;16;19;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;465191;;NOVOb.CO;NOVO NORDISK B;DK;DKK;NASDAQ Copenhagen;;17;17;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;478511;;UBSG.S;UBS GROUP;CH;CHF;Six Swiss Exchange;;18;18;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;442464;;IBE.MC;IBERDROLA;ES;EUR;BME Exchange;;19;16;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;454005;;LVMH.PA;LVMH MOET HENNESSY;FR;EUR;Euronext Paris;;20;20;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;028758;;BATS.L;BRITISH AMERICAN TOBACCO;GB;GBP;London SE;;21;22;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;550190;;BBVA.MC;BCO BILBAO VIZCAYA ARGENTARIA;ES;EUR;BME Exchange;;22;24;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;476776;;SAF.PA;SAFRAN;FR;EUR;Euronext Paris;;23;27;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;423244;;CRDI.MI;UNICREDIT;IT;EUR;Borsa Italiana;;24;28;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;091321;;ULVR.L;UNILEVER PLC;GB;GBP;London SE;;25;23;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;588950;;IFXGn.DE;INFINEON TECHNOLOGIES;DE;EUR;XETRA;;26;41;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;401225;;AIR.PA;AIRBUS;FR;EUR;Euronext Paris;;27;26;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;401140;;AIRP.PA;AIR LIQUIDE;FR;EUR;Euronext Paris;;28;25;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;511938;;DTEGn.DE;DEUTSCHE TELEKOM;DE;EUR;XETRA;;29;29;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;473821;;CFR.S;CIE FINANCIERE RICHEMONT;CH;CHF;Six Swiss Exchange;;30;36;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;013849;;BP.L;BP;GB;GBP;London SE;;31;21;;;
20260601;SXXP;STOXX Europe 600;EU0009658202;071887;;RIO.L;RIO TINTO;GB;GBP;London SE;;32;31;;;
