Creation_Date;Index_Symbol;Index_Name;Index ISIN;Internal_Key;ISIN;RIC;Instrument_Name;Country;Currency;Exchange;Index Membership;Rank (FINAL);Rank (PREVIOUS);Comment;Rank 2 (FINAL);Rank 2 (PREVIOUS)
20260302;SXXP;STOXX Europe 600;EU0009658202;546078;NL0010273215;ASML.AS;ASML HLDG;NL;EUR;Euronext Amsterdam;;1;1;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;474577;CH0012032048;ROG.S;ROCHE HLDG P;CH;CHF;Six Swiss Exchange;;2;2;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;098952;GB0009895292;AZN.L;ASTRAZENECA;GB;GBP;London SE;;3;4;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;477408;CH0012005267;NOVN.S;NOVARTIS;CH;CHF;Six Swiss Exchange;;4;5;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;040054;GB0005405286;HSBA.L;HSBC;GB;GBP;London SE;;5;3;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;461669;CH0038863350;NESN.S;NESTLE;CH;CHF;Six Swiss Exchange;;6;6;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;B09CBL;GB00BP6MXD84;SHEL.AS;SHELL;GB;EUR;Euronext Amsterdam;;7;8;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;480710;DE0007236101;SIEGn.DE;SIEMENS;DE;EUR;XETRA;;8;7;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;476361;DE0007164600;SAPG.DE;SAP;DE;EUR;XETRA;;9;9;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;483410;FR0000121972;SCHN.PA;SCHNEIDER ELECTRIC;FR;EUR;Euronext Paris;;10;13;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;407228;ES0113900J37;SAN.MC;BCO SANTANDER;ES;EUR;BME Exchange;;11;10;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;490541;FR0000120271;TTEF.PA;TOTALENERGIES;FR;EUR;Euronext Paris;;12;15;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;401632;DE0008404005;ALVG.DE;ALLIANZ;DE;EUR;XETRA;;13;12;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;091321;GB00BVZK7T90;ULVR.L;UNILEVER PLC;GB;GBP;London SE;;14;16;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;454005;FR0000121014;LVMH.PA;LVMH MOET HENNESSY;FR;EUR;Euronext Paris;;15;14;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;DE004V;DE000ENER6Y0;ENR1n.DE;SIEMENS ENERGY;DE;EUR;XETRA;;16;25;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;074776;GB00B63H8491;RR.L;ROLLS ROYCE HLDG;GB;GBP;London SE;;17;19;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;476776;FR0000073272;SAF.PA;SAFRAN;FR;EUR;Euronext Paris;;18;24;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;408580;CH0012221716;ABBN.S;ABB;CH;CHF;Six Swiss Exchange;;19;21;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;442464;ES0144580Y14;IBE.MC;IBERDROLA;ES;EUR;BME Exchange;;20;20;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;511938;DE0005557508;DTEGn.DE;DEUTSCHE TELEKOM;DE;EUR;XETRA;;21;27;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;028758;GB0002875804;BATS.L;BRITISH AMERICAN TOBACCO;GB;GBP;London SE;;22;26;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;550190;ES0113211835;BBVA.MC;BCO BILBAO VIZCAYA ARGENTARIA;ES;EUR;BME Exchange;;23;17;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;423244;IT0005239360;CRDI.MI;UNICREDIT;IT;EUR;Borsa Italiana;;24;22;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;478511;CH0244767585;UBSG.S;UBS GROUP;CH;CHF;Six Swiss Exchange;;25;18;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;401225;NL0000235190;AIR.PA;AIRBUS;FR;EUR;Euronext Paris;;26;23;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;401140;FR0000120073;AIRP.PA;AIR LIQUIDE;FR;EUR;Euronext Paris;;27;30;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;465191;DK0062498333;NOVOb.CO;NOVO NORDISK B;DK;DKK;NASDAQ Copenhagen;;28;11;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;037178;GB00BN7SWP63;GSK.L;GSK;GB;GBP;London SE;;29;33;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;413366;FR0000131104;BNPP.PA;BNP PARIBAS;FR;EUR;Euronext Paris;;30;28;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;453478;FR0000120321;OREP.PA;L'OREAL;FR;EUR;Euronext Paris;;31;29;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;499187;CH0011075394;ZURN.S;ZURICH INSURANCE GROUP;CH;CHF;Six Swiss Exchange;;32;35;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;473821;CH0210483332;CFR.S;CIE FINANCIERE RICHEMONT;CH;CHF;Six Swiss Exchange;;33;34;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;477518;FR0000120578;SASY.PA;SANOFI;FR;EUR;Euronext Paris;;34;32;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;013849;GB0007980591;BP.L;BP;GB;GBP;London SE;;35;36;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;071887;GB0007188757;RIO.L;RIO TINTO;GB;GBP;London SE;;36;37;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;407683;IT0000072618;ISP.MI;INTESA SANPAOLO;IT;EUR;Borsa Italiana;;37;31;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;024282;GB00BDR05C01;NG.L;NATIONAL GRID;GB;GBP;London SE;;38;43;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;481808;FR0000125486;SGEF.PA;VINCI;FR;EUR;Euronext Paris;;39;46;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;579802;IT0003128367;ENEI.MI;ENEL;IT;EUR;Borsa Italiana;;40;44;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;533458;DE0007030009;RHMG.DE;RHEINMETALL;DE;EUR;XETRA;;41;38;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;458887;FR0000120628;AXAF.PA;AXA;FR;EUR;Euronext Paris;;42;47;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;461075;DE0008430026;MUVGn.DE;MUENCHENER RUECK;DE;EUR;XETRA;;43;49;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;012715;GB0002634946;BAES.L;BAE SYSTEMS;GB;GBP;London SE;;44;48;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;441842;FR0000052292;HRMS.PA;HERMES INTERNATIONAL;FR;EUR;Euronext Paris;;45;45;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;448816;NL0011821202;INGA.AS;ING GRP;NL;EUR;Euronext Amsterdam;;46;41;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;007820;GB0031348658;BARC.L;BARCLAYS;GB;GBP;London SE;;47;40;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;475531;BE0974293251;ABI.BR;ANHEUSER-BUSCH INBEV;BE;EUR;Euronext Brussels;;48;52;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;430376;FR0000121667;ESLX.PA;ESSILORLUXOTTICA;FR;EUR;Euronext Paris;;49;39;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;087061;GB0008706128;LLOY.L;LLOYDS BANKING GRP;GB;GBP;London SE;;50;42;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;446963;SE0015811963;INVEb.ST;INVESTOR B;SE;SEK;NASDAQ Stockholm;;51;55;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;711131;ES0148396007;ITX.MC;Industria de Diseno Textil SA;ES;EUR;BME Exchange;;52;53;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;588950;DE0006231004;IFXGn.DE;INFINEON TECHNOLOGIES;DE;EUR;XETRA;;53;59;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;426724;DE0005140008;DBKGn.DE;DEUTSCHE BANK;DE;EUR;XETRA;;54;50;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;075478;GB00BM8PJY71;NWG.L;NATWEST GROUP;GB;GBP;London SE;;55;51;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;GB10B3;JE00B4T3BW64;GLEN.L;GLENCORE PLC;GB;GBP;London SE;;56;58;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;481775;FR0000130809;SOGN.PA;GRP SOCIETE GENERALE;FR;EUR;Euronext Paris;;57;56;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;478184;FI4000297767;NDAFI.HE;NORDEA BANK;FI;EUR;NASDAQ Helsinki;;58;60;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;B0C2CQ;FR0010208488;ENGIE.PA;ENGIE;FR;EUR;Euronext Paris;;59;65;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;073087;GB00B2B0DG97;REL.L;RELX PLC;GB;GBP;London SE;;60;57;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;NL901I;NL0013654783;PRX.AS;Prosus;NL;EUR;Euronext Amsterdam;;61;54;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;493117;SE0000115446;VOLVb.ST;VOLVO B;SE;SEK;NASDAQ Stockholm;;62;61;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;095298;GB00B0SWJX34;LSEG.L;LONDON STOCK EXCHANGE;GB;GBP;London SE;;63;62;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;072769;GB00BSZBP530;RKT.L;RECKITT BENCKISER GRP;GB;GBP;London SE;;64;63;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;461785;DE0005552004;DHLn.DE;DEUTSCHE POST;DE;EUR;XETRA;;65;71;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;405097;SE0017486889;ATCOa.ST;ATLAS COPCO A;SE;SEK;NASDAQ Stockholm;;66;68;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;490151;GB00BTK05J60;AAL.L;ANGLO AMERICAN;GB;GBP;London SE;;67;72;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;407023;FR0000120644;DANO.PA;DANONE;FR;EUR;Euronext Paris;;68;74;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;053315;GB00BD6K4575;CPG.L;COMPASS GRP;GB;GBP;London SE;;69;67;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;478165;CH0126881561;SRENH.S;SWISS REINSURANCE COMPANY;CH;CHF;Six Swiss Exchange;;70;78;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;492752;DE000ENAG999;EONGn.DE;E.ON;DE;EUR;XETRA;;71;81;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;408348;DE000BASF111;BASFn.DE;BASF;DE;EUR;XETRA;;72;77;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;587296;DK0060079531;DSV.CO;DSV;DK;DKK;NASDAQ Copenhagen;;73;64;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;702196;DE0005810055;DB1Gn.DE;DEUTSCHE BOERSE;DE;EUR;XETRA;;74;80;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;476837;FR0000125007;SGOB.PA;SAINT GOBAIN;FR;EUR;Euronext Paris;;75;76;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;425240;DE0007100000;MBGn.DE;MERCEDES-BENZ GROUP;DE;EUR;XETRA;;76;75;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;039600;GB0002374006;DGE.L;DIAGEO;GB;GBP;London SE;;77;73;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;579422;CH0013841017;LONN.S;LONZA;CH;CHF;Six Swiss Exchange;;78;79;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;GB20WP;GB00BMX86B70;HLN.L;HALEON;GB;GBP;London SE;;79;84;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;442048;CH0012214059;HOLN.S;Holcim;CH;CHF;Six Swiss Exchange;;80;66;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;408530;DE000BAY0017;BAYGn.DE;BAYER;DE;EUR;XETRA;;81;69;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;BE8041;NL0010832176;ARGX.BR;ARGENX;BE;EUR;Euronext Brussels;;82;70;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;B11ZRK;FR0010307819;LEGD.PA;LEGRAND;FR;EUR;Euronext Paris;;83;91;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;477472;SE0000667891;SAND.ST;SANDVIK;SE;SEK;NASDAQ Stockholm;;84;89;;;
20260302;SXXP;STOXX Europe 600;EU0009658202;405671;IT0000062072;GASI.MI;ASSICURAZIONI GENERALI;IT;EUR;Borsa Italiana;;85;86;;;
